'seasonal', 'uid', 'independent', 'matrix_criteria_size', 'studied_sex_id', 'class_author', 'matrix_fec', 'n_intervals', 'class_organized', 'survival_issue', 'matrix_start_month', 'class_number', 'id', 'matrix_start_year', 'matrix_primitive', 'matrix_a_string', 'matrix_split', 'matrix_start_season_id', 'observations', 'matrix_end_month', 'matrix_end_year', 'matrix_dimension', 'matrix_ergodic', '_sa_instance_state', 'matrix_criteria_ontogeny', 'matrix_criteria_age', 'treatment_id', 'matrix_composition_id', 'matrix_irreducible', 'matrix_u_string', 'captivity_id', 'matrix_lambda', 'matrix_c_string', 'matrix_difficulty', 'matrix_end_season_id', 'non_independence_author', 'population_id', 'matrix_f_string', 'independence_origin', 'matrix_complete', 'non_independence'one, None, None, u'DBH; stem height', None, None, None, None, None, None, None, None, 1L, None, None, None, None, None, None, None, None, None, None, <sqlalchemy.orm.state.InstanceState object at 0x05964090>, False, False, 1L, None, None, None, None, None, None, None, None, None, 1L, None, None, None, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.967333, None, u'c(|1|2|3|4|5|)', 13L, 1987L, True, u'[0.751333333333333 0 0 0 0.172333333333333;0.164 0.748333333333333 0 0 0;0 0.158666666666667 0.860666666666667 0 0;0 0 0.0803333333333333 0.894333333333333 0;0 0 0 0.0496666666666667 0.967333333333333]', u'Divided', None, None, None, 2002L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964530>, False, False, 1L, 2L, True, u'[0.751333333333333 0 0 0 0;0.164 0.748333333333333 0 0 0;0 0.158666666666667 0.860666666666667 0 0;0 0 0.0803333333333333 0.894333333333333 0;0 0 0 0.0496666666666667 0.967333333333333]', 1L, 0.991459, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 3L, u'[0 0 0 0 0.172333333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.964, None, u'c(|1|2|3|4|5|)', 14L, 1994L, True, u'[0.75 0 0 0 0.384;0.182 0.776 0 0 0;0 0.188 0.864 0 0;0 0 0.089 0.909 0;0 0 0 0.052 0.952]', u'Divided', None, None, None, 1999L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964590>, False, False, 1L, 1L, True, u'[0.75 0 0 0 0;0.182 0.776 0 0 0;0 0.188 0.864 0 0;0 0 0.089 0.909 0;0 0 0 0.052 0.952]', 1L, 1.01378, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 7L, u'[0 0 0 0 0.384;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.966, None, u'c(|1|2|3|4|5|)', 15L, 1994L, True, u'[0.788 0 0 0 0.463;0.139 0.804 0 0 0;0 0.161 0.875 0 0;0 0 0.091 0.872 0;0 0 0 0.068 0.956]', u'Divided', None, None, None, 1999L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059645F0>, False, False, 1L, 1L, True, u'[0.788 0 0 0 0;0.139 0.804 0 0 0;0 0.161 0.875 0 0;0 0 0.091 0.872 0;0 0 0 0.068 0.956]', 1L, 1.01816, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 5L, u'[0 0 0 0 0.463;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.970333, None, u'c(|1|2|3|4|5|)', 16L, 1982L, True, u'[0.758666666666667 0 0 0 0.31;0.176333333333333 0.773666666666667 0 0 0;0 0.164333333333333 0.855 0 0;0 0 0.0816666666666667 0.927666666666667 0;0 0 0 0.0426666666666667 0.962333333333333]', u'Divided', None, None, None, 1999L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964650>, False, False, 1L, 2L, True, u'[0.758666666666667 0 0 0 0;0.176333333333333 0.773666666666667 0 0 0;0 0.164333333333333 0.855 0 0;0 0 0.0816666666666667 0.927666666666667 0;0 0 0 0.0426666666666667 0.962333333333333]', 1L, 1.00706, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 7L, u'[0 0 0 0 0.31;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.964, None, u'c(|1|2|3|4|5|)', 17L, 1988L, True, u'[0.746 0 0 0 0.196;0.201 0.772 0 0 0;0 0.149 0.845 0 0;0 0 0.073 0.942 0;0 0 0 0.022 0.964]', u'Divided', None, None, None, 1994L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059646B0>, False, False, 1L, 1L, True, u'[0.746 0 0 0 0;0.201 0.772 0 0 0;0 0.149 0.845 0 0;0 0 0.073 0.942 0;0 0 0 0.022 0.964]', 1L, 0.989723, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 7L, u'[0 0 0 0 0.196;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.986, None, u'c(|1|2|3|4|5|)', 18L, 1982L, True, u'[0.78 0 0 0 0.35;0.146 0.773 0 0 0;0 0.156 0.856 0 0;0 0 0.083 0.932 0;0 0 0 0.054 0.971]', u'Divided', None, None, None, 1988L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964710>, False, False, 1L, 1L, True, u'[0.78 0 0 0 0;0.146 0.773 0 0 0;0 0.156 0.856 0 0;0 0 0.083 0.932 0;0 0 0 0.054 0.971]', 1L, 1.01661, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 7L, u'[0 0 0 0 0.35;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0-5 cm|DBH: 6-10 cm|DBH: 11-20 cm|DBH: 21-30 cm|DBH: 31-40 cm|DBH: >41 cm|)', False, None, u'c(|active|active|active|active|active|active|)', 1.0, None, u'c(|1|2|3|4|5|6|)', 19L, 1982L, False, u'[0.57 0 0 0 0 0;0.2 0.81 0 0 0 0;0 0.05 0.93 0 0 0;0 0 0.02 0.98 0 0;0 0 0 0.02 0.77 0;0 0 0 0 0.19 0.87]', u'Divided', None, u'Fecundity is missing', None, 1986L, 6L, False, <sqlalchemy.orm.state.InstanceState object at 0x05964770>, False, False, 1L, 2L, False, u'[0.57 0 0 0 0 0;0.2 0.81 0 0 0 0;0 0.05 0.93 0 0 0;0 0 0.02 0.98 0 0;0 0 0 0.02 0.77 0;0 0 0 0 0.19 0.87]', 1L, 0.98, u'[0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0]', None, None, None, 8L, u'[0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0;0 0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.992248, None, u'c(|1|2|3|4|5|)', 20L, 1988L, True, u'[0.864137086903305 0 0 0 0.162790697674419;0.0526315789473684 0.910891089108911 0 0 0;0 0.0618811881188119 0.906593406593407 0 0;0 0 0.0659340659340659 0.886363636363636 0;0 0 0 0.102272727272727 0.992248062015504]', u'Divided', None, None, None, 1994L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x059647D0>, False, False, 1L, 1L, True, u'[0.864137086903305 0 0 0 0;0.0526315789473684 0.910891089108911 0 0 0;0 0.0618811881188119 0.906593406593407 0 0;0 0 0.0659340659340659 0.886363636363636 0;0 0 0 0.102272727272727 0.992248062015504]', 1L, 1.01096, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 9L, u'[0 0 0 0 0.162790697674419;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.935, None, u'c(|1|2|3|4|5|)', 21L, 1987L, False, u'[0.667 0 0 0 0.323;0 0.643 0 0 0;0 0 0.667 0 0;0 0 0.067 0.76 0;0 0 0 0.04 0.935]', u'Divided', None, None, None, 1992L, 5L, False, <sqlalchemy.orm.state.InstanceState object at 0x05964830>, False, False, 1L, 1L, False, u'[0.667 0 0 0 0;0 0.643 0 0 0;0 0 0.667 0 0;0 0 0.067 0.76 0;0 0 0 0.04 0.935]', 1L, 0.935, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 10L, u'[0 0 0 0 0.323;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
alse, None, None, u'DBH', 5L, u'c(|DBH: 0.0-5.0 cm|DBH: 5.1-10.0 cm|DBH: 10.1-20.0 cm|DBH: 20.1-40.0 cm|DBH: >40.0 cm|)', True, None, u'c(|active|active|active|active|active|)', 0.937667, None, u'c(|1|2|3|4|5|)', 22L, 1982L, True, u'[0.698 0 0 0 0.827333333333333;0.232666666666667 0.759333333333333 0 0 0;0 0.178333333333333 0.861 0 0;0 0 0.0726666666666667 0.847333333333333 0;0 0 0 0.0853333333333333 0.923666666666667]', u'Divided', None, None, None, 1999L, 5L, True, <sqlalchemy.orm.state.InstanceState object at 0x05964890>, False, False, 1L, 2L, True, u'[0.698 0 0 0 0;0.232666666666667 0.759333333333333 0 0 0;0 0.178333333333333 0.861 0 0;0 0 0.0726666666666667 0.847333333333333 0;0 0 0 0.0853333333333333 0.923666666666667]', 1L, 1.01858, u'[0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, None, None, 11L, u'[0 0 0 0 0.827333333333333;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0;0 0 0 0 0]', None, True, Non
